Class in user_features,Number of referencing classes in benefits_programs,Referencing classes in benefits_programs
age,52,"ChildAndDependentCareTaxCredit, EarlyHeadStart, InfantToddlerPrograms, ChildTaxCredit, DisabilityRentIncreaseExemption, EarnedIncomeTaxCredit, HeadStart, EnhancedSchoolTaxReliefProgram, SeniorCitizenHomeownersExemption, IDNYC, OfficeOfChildSupportServices, AdultProtectiveServices, BeaconPrograms, NYCFreeTaxPrep, KindergartenAndElementarySchool, CUNYFatherhoodAcademy, NewbornHomeVisitingProgram, ChildrenAndYouthWithSpecialHealthCareNeeds, OutpatientTreatmentServices, ChildHealthPlusAndChildrensMedicaid, PrimaryAndPreventiveHealthCare, FamilyResourceCenters, FamilyAssessmentProgram, CornerstonePrograms, TheEarlyInterventionProgram, NYCHAPublicHousing, SchoolAgeAndEarlyChildhoodFamilyAndCommunityEngagementFACECenters, ThreeK, AdvanceEarn, TrainEarn, NYCYouthHealth, NYCLaddersForLeaders, NYCYouthLeadershipCouncils, JobsPlus, CoolingAssistanceBenefit, ActionNYC, FairFaresNYC, WeSpeakNYC, ChildCareVouchers, NYCFinancialEmpowermentCenters, FamilyHomelessnessAndEvictionPreventionSupplement, FamilyTypeHomesForAdults, SilverCorps, SeniorCitizenRentIncreaseExemption, PreKForAll, HomeEnergyAssistanceProgram, SummerMeals, OlderAdultEmploymentProgram, WorkforceoneCareerCenters, CommoditySupplementalFoodProgram, LearnEarn, SummerYouthEmploymentProgram"
place_of_residence,38,"DisabilityRentIncreaseExemption, FamilyPlanningBenefitProgram, IDNYC, MiddleSchool, KindergartenAndElementarySchool, CUNYFatherhoodAcademy, ChildrenAndYouthWithSpecialHealthCareNeeds, ChildHealthPlusAndChildrensMedicaid, PrimaryAndPreventiveHealthCare, TheEarlyInterventionProgram, SchoolAgeAndEarlyChildhoodFamilyAndCommunityEngagementFACECenters, ThreeK, MedicaidForPregnantWomen, AcceleratedStudyInAssociatePrograms, AdvanceEarn, TrainEarn, NYCYouthHealth, NYCLaddersForLeaders, HighSchool, CareerAndTechnicalEducation, CoolingAssistanceBenefit, NYCCare, ActionNYC, FairFaresNYC, Homebase, SafeAndSickLeave, STEMMattersNYC, NYCFinancialEmpowermentCenters, NYSPaidFamilyLeave, TextTwoWork, SilverCorps, SeniorCitizenRentIncreaseExemption, OlderAdultEmploymentProgram, WorkforceoneCareerCenters, CommoditySupplementalFoodProgram, LearnEarn, NYCNurseFamilyPartnership, SummerYouthEmploymentProgram"
annual_work_income,29,"ChildAndDependentCareTaxCredit, EarlyHeadStart, ChildTaxCredit, DisabilityRentIncreaseExemption, EarnedIncomeTaxCredit, HeadStart, BasicSchoolTaxReliefProgram, EnhancedSchoolTaxReliefProgram, SectionEightHousingChoiceVoucherProgram, SeniorCitizenHomeownersExemption, FamilyPlanningBenefitProgram, NYCFreeTaxPrep, NYCHAPublicHousing, MedicaidForPregnantWomen, AdvanceEarn, TrainEarn, CoolingAssistanceBenefit, SafeAndSickLeave, Lifeline, ChildCareVouchers, HomeFirstDownPaymentAssistance, NYCMitchellLama, SilverCorps, SeniorCitizenRentIncreaseExemption, DisabledHomeownersExemption, HomeEnergyAssistanceProgram, OlderAdultEmploymentProgram, CommoditySupplementalFoodProgram, LearnEarn"
housing_type,20,"EarlyHeadStart, InfantToddlerPrograms, DisabilityRentIncreaseExemption, HeadStart, BasicSchoolTaxReliefProgram, EnhancedSchoolTaxReliefProgram, SeniorCitizenHomeownersExemption, NewbornHomeVisitingProgram, CornerstonePrograms, TrainEarn, JobsPlus, VeteransAffairsSupportedHousing, ChildCareVouchers, FamilyHomelessnessAndEvictionPreventionSupplement, BigAppleConnect, SeniorCitizenRentIncreaseExemption, DisabledHomeownersExemption, SummerMeals, NYCHAResidentEconomicEmpowermentAndSustainability, LearnEarn"
current_school_level,15,"ChildAndDependentCareTaxCredit, ComprehensiveAfterSchoolSystemOfNYC, InfantToddlerPrograms, BeaconPrograms, MiddleSchool, CUNYFatherhoodAcademy, AdvanceEarn, TrainEarn, NYCLaddersForLeaders, NYCYouthLeadershipCouncils, HighSchool, CareerAndTechnicalEducation, STEMMattersNYC, FamilyHomelessnessAndEvictionPreventionSupplement, LearnEarn"
relation,13,"ChildAndDependentCareTaxCredit, ChildTaxCredit, EarnedIncomeTaxCredit, HeadStart, EnhancedSchoolTaxReliefProgram, SeniorCitizenHomeownersExemption, OfficeOfChildSupportServices, NYCFreeTaxPrep, CUNYFatherhoodAcademy, NewbornHomeVisitingProgram, FamilyResourceCenters, NYCHAPublicHousing, DisabledHomeownersExemption"
disabled,10,"ChildAndDependentCareTaxCredit, AdultProtectiveServices, AccessARideParatransitService, ChildrenAndYouthWithSpecialHealthCareNeeds, SchoolAgeAndEarlyChildhoodFamilyAndCommunityEngagementFACECenters, TrainEarn, NYCYouthHealth, DisabledHomeownersExemption, HomeEnergyAssistanceProgram, LearnEarn"
work_hours_per_week,9,"InfantToddlerPrograms, ChildTaxCredit, AdvanceEarn, TrainEarn, ChildCareVouchers, NYCFinancialEmpowermentCenters, NYSPaidFamilyLeave, SilverCorps, OlderAdultEmploymentProgram"
citizenship,8,"FamilyPlanningBenefitProgram, PrimaryAndPreventiveHealthCare, NYCHAPublicHousing, AdvanceEarn, CoolingAssistanceBenefit, ActionNYC, FairFaresNYC, COVIDnineteenFuneralAssistance"
receives_snap,7,"HeadStart, TrainEarn, CoolingAssistanceBenefit, Lifeline, TextTwoWork, HomeEnergyAssistanceProgram, LearnEarn"
